corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
generic_questions_v1,semiconductor_work,gapelicit,S08,field,0.6667,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.7396,0.7024
generic_questions_v1,semiconductor_work,gapelicit,S08,exact,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6875,0.6429
coordinated_questions_v1,semiconductor_work,coordinated,S01,document,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9375,0.9286
coordinated_questions_v1,semiconductor_work,coordinated,S01,field,1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.9062,0.8929
coordinated_questions_v1,semiconductor_work,coordinated,S01,exact,0.25,1.0,1.0,1.0,0.25,1.0,0.0,1.0,0.6875,0.6429
coordinated_questions_v1,semiconductor_work,coordinated,S02,document,0.8571,0.6667,1.0,1.0,1.0,1.0,0.75,1.0,0.9092,0.8963
coordinated_questions_v1,semiconductor_work,coordinated,S02,field,0.5714,0.6667,0.3333,1.0,0.6667,0.3333,0.5,1.0,0.6339,0.5816
coordinated_questions_v1,semiconductor_work,coordinated,S02,exact,0.2857,0.6667,0.3333,1.0,0.6667,0.3333,0.0,1.0,0.5357,0.4694
coordinated_questions_v1,semiconductor_work,coordinated,S03,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coordinated_questions_v1,semiconductor_work,coordinated,S03,field,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.9062,0.8929
coordinated_questions_v1,semiconductor_work,coordinated,S03,exact,0.25,1.0,1.0,0.75,0.5,1.0,0.75,1.0,0.7812,0.75
coordinated_questions_v1,semiconductor_work,coordinated,S04,document,0.875,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.8906,0.875
coordinated_questions_v1,semiconductor_work,coordinated,S04,field,0.75,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.875,0.8571
coordinated_questions_v1,semiconductor_work,coordinated,S04,exact,0.25,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.6062,0.55
coordinated_questions_v1,semiconductor_work,coordinated,S05,document,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9375,0.9286
coordinated_questions_v1,semiconductor_work,coordinated,S05,field,0.7143,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9018,0.8878
coordinated_questions_v1,semiconductor_work,coordinated,S05,exact,0.2857,1.0,0.75,0.75,0.75,0.5,0.25,1.0,0.6607,0.6122
coordinated_questions_v1,semiconductor_work,coordinated,S06,document,1.0,1.0,0.75,0.75,1.0,1.0,0.5,0.6667,0.8333,0.8571
coordinated_questions_v1,semiconductor_work,coordinated,S06,field,0.8571,1.0,0.75,0.75,0.75,0.5,0.25,0.6667,0.6905,0.6939
coordinated_questions_v1,semiconductor_work,coordinated,S06,exact,0.4286,1.0,0.75,0.75,0.25,0.0,0.25,0.6667,0.5119,0.4898
coordinated_questions_v1,semiconductor_work,coordinated,S07,document,0.7143,1.0,0.5,0.75,0.75,0.5,0.75,0.6667,0.7039,0.7092
coordinated_questions_v1,semiconductor_work,coordinated,S07,field,0.7143,0.75,0.5,0.75,0.75,0.0,0.5,0.6667,0.5789,0.5663
coordinated_questions_v1,semiconductor_work,coordinated,S07,exact,0.2857,0.75,0.25,0.5,0.0,0.0,0.0,0.6667,0.3065,0.2551
coordinated_questions_v1,semiconductor_work,coordinated,S08,document,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,1.0,0.8958,0.881
coordinated_questions_v1,semiconductor_work,coordinated,S08,field,1.0,0.0,1.0,1.0,1.0,0.5,0.25,1.0,0.7188,0.6786
coordinated_questions_v1,semiconductor_work,coordinated,S08,exact,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.625,0.5714
domain_taxonomy_v1,childcare,generic,C01,document,1.0,0.75,0.5,1.0,0.75,1.0,1.0,1.0,0.875,0.8571
domain_taxonomy_v1,childcare,generic,C01,field,0.875,0.75,0.5,0.75,0.75,0.5,1.0,1.0,0.7656,0.7321
domain_taxonomy_v1,childcare,generic,C01,exact,0.0,0.75,0.25,0.75,0.25,0.5,0.25,1.0,0.4688,0.3929
domain_taxonomy_v1,childcare,generic,C02,document,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9375,0.9286
domain_taxonomy_v1,childcare,generic,C02,field,0.75,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9062,0.8929
domain_taxonomy_v1,childcare,generic,C02,exact,0.0,1.0,1.0,0.75,0.5,0.5,0.0,1.0,0.5938,0.5357
domain_taxonomy_v1,childcare,generic,C03,document,1.0,0.25,0.5,0.75,0.75,1.0,0.75,0.3333,0.6667,0.7143
domain_taxonomy_v1,childcare,generic,C03,field,0.125,0.25,0.5,0.75,0.75,0.5,0.75,0.3333,0.4948,0.5179
domain_taxonomy_v1,childcare,generic,C03,exact,0.0,0.25,0.5,0.5,0.75,0.5,0.0,0.3333,0.3542,0.3571
domain_taxonomy_v1,childcare,generic,C04,document,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.9688,0.9643
domain_taxonomy_v1,childcare,generic,C04,field,0.625,0.75,1.0,0.75,0.75,0.5,0.75,1.0,0.7656,0.7321
